"DATEKEY","DAY","MONTH","YEAR","QUARTER","DAYOFWEEK","MONTHNAME","ISWEEKEND"
05-FEB-2022,5,2,2022,1,"Saturday ","February ","Y"
06-FEB-2022,6,2,2022,1,"Sunday   ","February ","Y"
07-FEB-2022,7,2,2022,1,"Monday   ","February ","N"
08-FEB-2022,8,2,2022,1,"Tuesday  ","February ","N"
09-FEB-2022,9,2,2022,1,"Wednesday","February ","N"
10-FEB-2022,10,2,2022,1,"Thursday ","February ","N"
11-FEB-2022,11,2,2022,1,"Friday   ","February ","N"
12-FEB-2022,12,2,2022,1,"Saturday ","February ","Y"
13-FEB-2022,13,2,2022,1,"Sunday   ","February ","Y"
14-FEB-2022,14,2,2022,1,"Monday   ","February ","N"
15-FEB-2022,15,2,2022,1,"Tuesday  ","February ","N"
16-FEB-2022,16,2,2022,1,"Wednesday","February ","N"
17-FEB-2022,17,2,2022,1,"Thursday ","February ","N"
18-FEB-2022,18,2,2022,1,"Friday   ","February ","N"
19-FEB-2022,19,2,2022,1,"Saturday ","February ","Y"
20-FEB-2022,20,2,2022,1,"Sunday   ","February ","Y"
21-FEB-2022,21,2,2022,1,"Monday   ","February ","N"
22-FEB-2022,22,2,2022,1,"Tuesday  ","February ","N"
23-FEB-2022,23,2,2022,1,"Wednesday","February ","N"
24-FEB-2022,24,2,2022,1,"Thursday ","February ","N"
25-FEB-2022,25,2,2022,1,"Friday   ","February ","N"
26-FEB-2022,26,2,2022,1,"Saturday ","February ","Y"
27-FEB-2022,27,2,2022,1,"Sunday   ","February ","Y"
28-FEB-2022,28,2,2022,1,"Monday   ","February ","N"
01-MAR-2022,1,3,2022,1,"Tuesday  ","March    ","N"
02-MAR-2022,2,3,2022,1,"Wednesday","March    ","N"
03-MAR-2022,3,3,2022,1,"Thursday ","March    ","N"
04-MAR-2022,4,3,2022,1,"Friday   ","March    ","N"
05-MAR-2022,5,3,2022,1,"Saturday ","March    ","Y"
06-MAR-2022,6,3,2022,1,"Sunday   ","March    ","Y"
07-MAR-2022,7,3,2022,1,"Monday   ","March    ","N"
08-MAR-2022,8,3,2022,1,"Tuesday  ","March    ","N"
09-MAR-2022,9,3,2022,1,"Wednesday","March    ","N"
10-MAR-2022,10,3,2022,1,"Thursday ","March    ","N"
11-MAR-2022,11,3,2022,1,"Friday   ","March    ","N"
12-MAR-2022,12,3,2022,1,"Saturday ","March    ","Y"
13-MAR-2022,13,3,2022,1,"Sunday   ","March    ","Y"
14-MAR-2022,14,3,2022,1,"Monday   ","March    ","N"
15-MAR-2022,15,3,2022,1,"Tuesday  ","March    ","N"
16-MAR-2022,16,3,2022,1,"Wednesday","March    ","N"
17-MAR-2022,17,3,2022,1,"Thursday ","March    ","N"
18-MAR-2022,18,3,2022,1,"Friday   ","March    ","N"
19-MAR-2022,19,3,2022,1,"Saturday ","March    ","Y"
20-MAR-2022,20,3,2022,1,"Sunday   ","March    ","Y"
21-MAR-2022,21,3,2022,1,"Monday   ","March    ","N"
22-MAR-2022,22,3,2022,1,"Tuesday  ","March    ","N"
23-MAR-2022,23,3,2022,1,"Wednesday","March    ","N"
24-MAR-2022,24,3,2022,1,"Thursday ","March    ","N"
25-MAR-2022,25,3,2022,1,"Friday   ","March    ","N"
26-MAR-2022,26,3,2022,1,"Saturday ","March    ","Y"
27-MAR-2022,27,3,2022,1,"Sunday   ","March    ","Y"
28-MAR-2022,28,3,2022,1,"Monday   ","March    ","N"
29-MAR-2022,29,3,2022,1,"Tuesday  ","March    ","N"
30-MAR-2022,30,3,2022,1,"Wednesday","March    ","N"
31-MAR-2022,31,3,2022,1,"Thursday ","March    ","N"
01-APR-2022,1,4,2022,2,"Friday   ","April    ","N"
02-APR-2022,2,4,2022,2,"Saturday ","April    ","Y"
03-APR-2022,3,4,2022,2,"Sunday   ","April    ","Y"
04-APR-2022,4,4,2022,2,"Monday   ","April    ","N"
05-APR-2022,5,4,2022,2,"Tuesday  ","April    ","N"
06-APR-2022,6,4,2022,2,"Wednesday","April    ","N"
07-APR-2022,7,4,2022,2,"Thursday ","April    ","N"
08-APR-2022,8,4,2022,2,"Friday   ","April    ","N"
09-APR-2022,9,4,2022,2,"Saturday ","April    ","Y"
10-APR-2022,10,4,2022,2,"Sunday   ","April    ","Y"
11-APR-2022,11,4,2022,2,"Monday   ","April    ","N"
12-APR-2022,12,4,2022,2,"Tuesday  ","April    ","N"
13-APR-2022,13,4,2022,2,"Wednesday","April    ","N"
14-APR-2022,14,4,2022,2,"Thursday ","April    ","N"
15-APR-2022,15,4,2022,2,"Friday   ","April    ","N"
16-APR-2022,16,4,2022,2,"Saturday ","April    ","Y"
17-APR-2022,17,4,2022,2,"Sunday   ","April    ","Y"
18-APR-2022,18,4,2022,2,"Monday   ","April    ","N"
19-APR-2022,19,4,2022,2,"Tuesday  ","April    ","N"
20-APR-2022,20,4,2022,2,"Wednesday","April    ","N"
21-APR-2022,21,4,2022,2,"Thursday ","April    ","N"
22-APR-2022,22,4,2022,2,"Friday   ","April    ","N"
23-APR-2022,23,4,2022,2,"Saturday ","April    ","Y"
24-APR-2022,24,4,2022,2,"Sunday   ","April    ","Y"
25-APR-2022,25,4,2022,2,"Monday   ","April    ","N"
26-APR-2022,26,4,2022,2,"Tuesday  ","April    ","N"
27-APR-2022,27,4,2022,2,"Wednesday","April    ","N"
28-APR-2022,28,4,2022,2,"Thursday ","April    ","N"
29-APR-2022,29,4,2022,2,"Friday   ","April    ","N"
30-APR-2022,30,4,2022,2,"Saturday ","April    ","Y"
01-MAY-2022,1,5,2022,2,"Sunday   ","May      ","Y"
02-MAY-2022,2,5,2022,2,"Monday   ","May      ","N"
03-MAY-2022,3,5,2022,2,"Tuesday  ","May      ","N"
04-MAY-2022,4,5,2022,2,"Wednesday","May      ","N"
05-MAY-2022,5,5,2022,2,"Thursday ","May      ","N"
06-MAY-2022,6,5,2022,2,"Friday   ","May      ","N"
07-MAY-2022,7,5,2022,2,"Saturday ","May      ","Y"
08-MAY-2022,8,5,2022,2,"Sunday   ","May      ","Y"
09-MAY-2022,9,5,2022,2,"Monday   ","May      ","N"
10-MAY-2022,10,5,2022,2,"Tuesday  ","May      ","N"
11-MAY-2022,11,5,2022,2,"Wednesday","May      ","N"
12-MAY-2022,12,5,2022,2,"Thursday ","May      ","N"
13-MAY-2022,13,5,2022,2,"Friday   ","May      ","N"
14-MAY-2022,14,5,2022,2,"Saturday ","May      ","Y"
15-MAY-2022,15,5,2022,2,"Sunday   ","May      ","Y"
16-MAY-2022,16,5,2022,2,"Monday   ","May      ","N"
17-MAY-2022,17,5,2022,2,"Tuesday  ","May      ","N"
18-MAY-2022,18,5,2022,2,"Wednesday","May      ","N"
19-MAY-2022,19,5,2022,2,"Thursday ","May      ","N"
20-MAY-2022,20,5,2022,2,"Friday   ","May      ","N"
21-MAY-2022,21,5,2022,2,"Saturday ","May      ","Y"
22-MAY-2022,22,5,2022,2,"Sunday   ","May      ","Y"
23-MAY-2022,23,5,2022,2,"Monday   ","May      ","N"
24-MAY-2022,24,5,2022,2,"Tuesday  ","May      ","N"
25-MAY-2022,25,5,2022,2,"Wednesday","May      ","N"
26-MAY-2022,26,5,2022,2,"Thursday ","May      ","N"
27-MAY-2022,27,5,2022,2,"Friday   ","May      ","N"
28-MAY-2022,28,5,2022,2,"Saturday ","May      ","Y"
29-MAY-2022,29,5,2022,2,"Sunday   ","May      ","Y"
30-MAY-2022,30,5,2022,2,"Monday   ","May      ","N"
31-MAY-2022,31,5,2022,2,"Tuesday  ","May      ","N"
01-JUN-2022,1,6,2022,2,"Wednesday","June     ","N"
02-JUN-2022,2,6,2022,2,"Thursday ","June     ","N"
03-JUN-2022,3,6,2022,2,"Friday   ","June     ","N"
04-JUN-2022,4,6,2022,2,"Saturday ","June     ","Y"
05-JUN-2022,5,6,2022,2,"Sunday   ","June     ","Y"
06-JUN-2022,6,6,2022,2,"Monday   ","June     ","N"
07-JUN-2022,7,6,2022,2,"Tuesday  ","June     ","N"
08-JUN-2022,8,6,2022,2,"Wednesday","June     ","N"
09-JUN-2022,9,6,2022,2,"Thursday ","June     ","N"
10-JUN-2022,10,6,2022,2,"Friday   ","June     ","N"
11-JUN-2022,11,6,2022,2,"Saturday ","June     ","Y"
12-JUN-2022,12,6,2022,2,"Sunday   ","June     ","Y"
13-JUN-2022,13,6,2022,2,"Monday   ","June     ","N"
14-JUN-2022,14,6,2022,2,"Tuesday  ","June     ","N"
15-JUN-2022,15,6,2022,2,"Wednesday","June     ","N"
16-JUN-2022,16,6,2022,2,"Thursday ","June     ","N"
17-JUN-2022,17,6,2022,2,"Friday   ","June     ","N"
18-JUN-2022,18,6,2022,2,"Saturday ","June     ","Y"
19-JUN-2022,19,6,2022,2,"Sunday   ","June     ","Y"
20-JUN-2022,20,6,2022,2,"Monday   ","June     ","N"
21-JUN-2022,21,6,2022,2,"Tuesday  ","June     ","N"
22-JUN-2022,22,6,2022,2,"Wednesday","June     ","N"
23-JUN-2022,23,6,2022,2,"Thursday ","June     ","N"
24-JUN-2022,24,6,2022,2,"Friday   ","June     ","N"
25-JUN-2022,25,6,2022,2,"Saturday ","June     ","Y"
26-JUN-2022,26,6,2022,2,"Sunday   ","June     ","Y"
27-JUN-2022,27,6,2022,2,"Monday   ","June     ","N"
28-JUN-2022,28,6,2022,2,"Tuesday  ","June     ","N"
29-JUN-2022,29,6,2022,2,"Wednesday","June     ","N"
30-JUN-2022,30,6,2022,2,"Thursday ","June     ","N"
